start	end	text
247980	248620	用英文
248620	251800	那你想
251800	254600	你先头脑里头有没有画面感
254600	256320	就是说 suppose
256320	256960	就是
256960	263020	我们正在举行一个会议
263020	264220	然后这里面有谁
264220	265700	有 project manager
265700	266780	有 functional consultant
266780	269620	还有 technical consultant
269620	271440	然后我们在 discussion
271440	272680	有 golden tech system
272680	273980	所以 during the meeting
273980	275720	所以我会有些问题
275720	277860	我会有些问题
277860	281620	我会想问一些问题
281620	284120	你就可以想象情景
284120	284680	就是说
284680	285880	你自己想象
285880	287780	这个会议上面我们要干嘛
287780	289200	然后上面有些什么人
289200	291220	然后要解决些什么事情
291220	297180	就可以把你平时
297180	298000	你平时上面
298000	298920	比如说你讲中文
298920	299560	你要跟我讲
299560	300780	我说你平时上班
300780	301880	你要做些什么事情
301880	304340	so for example
304340	305840	so can you report
305840	308680	what your daily working looks like
308680	311460	你可不可以汇报你的那个
311460	313060	平时你的工作
313060	314340	日常工作是什么
314340	329940	就是要模拟
329940	332100	练习一下
332100	336980	那我说你的自己的日常工作是干嘛呢
336980	359900	我的工作是在第二次的程度上的程度上的程度
359900	365700	我準備了整個系統的設計
365700	369140	然後再次設計系統
369140	376140	我會安排了整個研究的研究
376140	381660	你會用到最後的研究
381660	385340	最後的研究
385340	387700	OK
387700	390340	You will conduct
390340	391640	EARnd user training
391640	392500	OK
392500	393100	OK
393100	395100	OK
395100	396980	好
396980	399260	那我们现在这里面有我们的小词汇本
399260	401660	我们来写出来
401660	402020	就是
402020	403960	记得
403960	405780	就是我们今天的是
405780	407580	10月17号
407580	411820	Conduct
411820	412540	记得吗
412540	413380	Conduct
413380	414540	EARnd
414540	417420	user training
417420	420120	好那你说final
420120	422300	你可能还是用中式思维
422300	422680	对吧
422680	423940	最终的
423940	425900	对那我们现在要知道
425900	426840	end user training
426840	428480	好那我们如果就是说
428480	430340	在说end user training的时候
430340	431980	那关键用户怎么说
431980	433820	key user
433820	434980	key user
434980	438260	ok key user
438260	441980	好用户呢
441980	444060	用户
444060	444940	或者是users
444940	447100	对
447100	448500	或者business
448500	451340	我们会讲说他们是business
451340	452000	或者user
452000	452360	OK
452360	453400	好
453400	453960	very good
453960	454660	好
454660	456520	Welcome to our class
456520	458580	So let's start today's class
458580	462240	So how about your
462240	464020	Have you
464020	466180	Anyone have finished your homework?
468700	469660	我们来提问
469660	472100	请同学来看头说话
472100	473680	嗯
474060	476300	OK
476300	477100	Hey Taylor
477100	477640	Hey
477640	478020	蒙蒙
478020	478420	Kathy
478420	480760	好
480760	482220	你们几个人
482220	484220	因为有同学的那个座椅已经交了
484220	485300	我就不提那个同学了
485300	486640	然后你们几位
486640	489920	谁愿意来分享一下子
489920	491140	从左边开始分享
491140	494220	然后第二个同学就来讲到这个中间键
494220	496840	然后做了一些哪些data的交换
496840	499100	然后第三个同学的话
499100	500140	你再去
500140	503680	再讲一下子这个方向
503680	505980	讲一下这个
505980	507100	这个
507100	508300	inbound
508300	509340	这个还是outbound
509340	509720	还是
509720	511620	它是什么去
511620	513180	就是一个overview吧
513180	514700	好
514700	515220	Taylor
515220	516320	Are you ready?
517200	517540	Could you
517540	518840	So I think last time
518840	519220	You
519220	521020	You already
521020	523460	Tell us the features
523460	524120	of the
524120	525200	GTS system
525200	525480	Right?
526240	526920	Yes
526920	528760	那我就不要叫你了
528760	529760	那我就换一个同学
529760	530360	好
530360	530800	OK
530800	531540	Katy
531540	532120	Katy
532120	533080	然后你就讲了
533080	541640	Katy
541640	541700	Katy
541700	541700	
541700	541700	
541700	541700	
541700	541700	
541700	541700	
541700	542700	Katy
542700	542700	
542700	542700	
542700	543700	Katy
543700	543700	
543700	543700	
543700	543700	
543700	544700	Katy
544700	544700	
544700	544700	
544700	544700	
544700	544700	
544700	544700	
544700	544700	
544700	544700	
544700	544700	
544700	544700	
544700	544700	
544700	544700	
544700	544700	
544700	544700	
544700	544700	
544700	544700	
544700	544700	
544700	544700	
544700	544700	
544700	544700	
544700	544700	
544700	544700	
544700	544700	
544700	544700	
544700	544700	
544700	544700	
544700	544700	
544700	544700	
544700	544700	
544700	544700	
544700	544700	
544700	544700	
544700	544700	
544700	544700	
544700	544700	
544700	544700	
544700	544700	
544700	544700	
544700	544700	
544700	544700	
544700	544700	
544700	544700	
563080	565640	所以我只要一位问问问
565640	568840	有你做了GTIS的互动之前吗
569920	571040	是的
571040	572960	这次你应该说是
572960	573960	OK
573960	577200	所以可以你可说的 features
577200	580040	或是个技术的技术的技术
583240	583840	OK
587320	587880	首先
593080	605080	首先,在标准的标准是在标准的标准。
609080	620080	标准是在标准的标准。
620080	624080	then we will create
624080	626080	create
628080	630080	create
630080	632080	um
632080	634080	papill
634080	636080	and then
636080	638080	we can
638080	640080	we also can
640080	642080	modify
642080	644080	the papill applied
644080	646080	mm-hmm
646080	648080	and then we can print
648080	650700	the PayPal applied
650700	653180	applied?
653820	654820	request
654820	655520	request
655520	656460	request, yes
656460	663260	senhe,通过
663260	663960	approve
663960	666960	the request
666960	675500	the request
675500	687500	The financial will approve the request and if the
687500	696500	拒绝,他可能会是 approved or什么
696500	699500	拒绝怎么说
699500	729500	如果金融資料 如果金融資料 如果金融資料 如果金融資料 如果金融資料 如果金融資料 如果金融資料 如果金融資料 如果金融資料 如果金融資料 如果金融資料 如果金融資料 如果金融資料 如果金融資料 如果金融資料 如果金融資料 如果金融資料 如果金融資料 如果金融資料 如果金融資料 如果金融資料 如果金融資料 如果金融資料 如果金融資料 如果金融資料 如果金融資料 如果金融資料 如果金融資料 如果金融資料 如果金融資料 如果金融資料 如果金融資料
729500	759500	如果需要更新的信息, 如果需要更新的信息, 如果需要更新的信息, 如果需要更新的信息, 如果需要更新的信息, 如果需要更新的信息, 如果需要更新的信息, 如果需要更新的信息, 如果需要更新的信息, 如果需要更新的信息, 如果需要更新的信息, 如果需要更新的信息, 如果需要更新的信息, 如果需要更新的信息, 如果需要更新的信息, 如果需要更新的信息, 如果需要更新的信息, 如果需要更新的信息, 如果需要更新的信息, 如果需要更新的信息, 如果需要更新的信息, 如果需要更新的信息, 如果需要更新的信息, 如果需要更新的信息, 如果需要更新的信息
759500	759900	就是
759900	761340	嗯-hmm
761340	763820	and if the
763820	765960	and if the financial
765960	766780	approved
766780	770040	has the request
770040	772140	then you transfer
772140	773060	to the
773060	775200	for GTS
775200	776940	嗯-hmm
776940	779020	and the GTS system will
779020	780080	will
780080	782320	开票怎么说
782320	789480	可以这样说吗
789480	798420	对吧
798420	803260	so GTS will issue an official document
803260	803700	right
803700	805380	oficial发票
805380	808740	issue
808740	810180	发出
810180	813760	或者create an official invoice
813760	814460	好
814460	815740	换另外一个同学
815740	816480	另外一个同学
816480	817360	就具体讲一下
817360	821080	或者哪些数据会被交换。
823780	827680	Taylor,是Taylor吧?
828740	830120	你这里已经讲完了,对吧?
830960	831160	Yeah.
832500	835460	OK, so Taylor, go ahead.
837140	843540	Could you please describe what data will be transferred or exchanged?
843660	845120	What data will be exchanged?
845120	850160	the community code and the
855520	860320	the build number text number text the red
864960	874640	the text amount and the customer right
875120	877120	哦,对,客户
886880	889520	我只记得这个
890960	896880	怎么说,那个GOLDEN TEX系统会返回来
896880	900880	传输回来, 返回来, 什么东西啊?
900880	909460	Return the official text code.
910300	912580	No, no, no, official invoice number.
913420	915720	Invoice number, official invoice number.
915720	919040	OK,对,然后我们送很多数据出去,
919200	922900	但是这个经税系统,它会把它那个正式的发表号
922900	927220	会返传给这个我们的billing document,对吧?
927220	934220	所以我们会回到我们的批评计划作为参考。
934220	942220	OK,作为一个参考,他们会回到我们的批评计划作为参考。
942220	949220	好,那第三个同学,你再来概括一下这个overview吧。
949220	953220	你不用讲这个细节,但是你要讲这个经税系统是干嘛的。
953220	955220	然后你讲一个这个overview。
955220	959380	好,那第三个同学我刚刚点的是谁啊
959380	963120	I want to try
963120	964720	OK, Katie
964720	966440	OK, Katie
966440	968440	好
968440	973580	首先,我先介绍你
973580	978940	The main function of the Golden Tech System
978940	982760	The Golden Tech System is a software
982760	986320	就是在中国的公司
986320	993960	它是用于公司的公司的货币
993960	1000480	它是用于公司的货币
1000480	1005120	和货币的货币
1005120	1010320	and there's a tax amount payment and return
1012400	1017920	yeah a lot of companies have have built a
1018880	1027200	fapil platform to integrate with the golden tech system it is convenient for them to
1027200	1030560	to handle text related matters
1030560	1033680	uh-huh okay
1033680	1034640	yeah
1034640	1046880	uh i i i will i i want to introduce one way of the integration is the of of issue
1046880	1048880	我們可以把貸品的貸品
1048880	1052880	我們可以把貸品的貸品
1052880	1056880	我們可以把貸品的貸品
1056880	1060880	我們可以把貸品貸品
1060880	1062880	貸品貸品貸品
1062880	1064880	貸品貸品貸品
1064880	1066880	貸品貸品貸品
1066880	1070880	貸品貸品貸品貸品
1070880	1072880	貸品貸品貸品貸品貸品
1072880	1083920	the middleware of TI and the GoldenTech system will generate
1086000	1092640	Vacial inverse number and return it to GoldenTech system
1092640	1100400	然后回到FIPO的 platform
1100400	1108260	然后FIPO的 platform会把这个数字积极为参照
1108260	1111800	OK,非常好
1111800	1114180	好,那我现在给你们大家解释一下子
1114180	1115900	这个有两种方式
1115900	1118860	就是我现在目前所知道的有两种方式
1118860	1121520	一种就是我们直接做这个数据交换
1121520	1122480	OK
1122480	1124020	那我在十年前
1124020	1125600	我做的项目是什么样子呢
1125600	1126360	是在SAP
1126360	1129100	We download the data
1129100	1129580	OK
1129580	1131960	So we have a platform
1131960	1132440	OK
1132440	1135080	像这个T-code的什么Z
1135080	1136900	然后我们有screen
1136900	1138680	比如说有company code
1138680	1141200	有这个customer number
1141200	1144340	然后我们会download的这个数据
1144340	1145680	download完以后呢
1145680	1147060	然后在GTS那边呢
1147060	1147860	我们再上传
1147860	1149020	它也有一个界面
1149020	1149600	我们再去
1149600	1151060	再去做一个上传
1151060	1152100	上传这个file
1152100	1154460	所以这个是比较古老的一种方式
1154460	1155720	那现在的话呢
1155720	1158280	都是会有中间这个pi的中间键
1158280	1160300	然后去做一些那个数据交换
1160300	1162560	所以它就是说自动的
1162560	1163860	这种自动的集成
1163860	1165940	但是我们古老的方式呢
1165940	1170000	我是手工的去download和上传和下载
1170000	1171100	对
1171100	1173280	这个就是你们作为一个知识
1173280	1174440	去了解一下就行了
1174440	1175400	好
1175400	1177900	那同学们都来就是介绍一下
1177900	1178900	这个GTS
1178900	1182080	就是这个apply platform
1182080	1185100	今天我们要学一点新的一些内容
1185100	1190420	今天呢我们要学的内容是OTC
1190420	1192480	So do you know what is OTC?
1193840	1195060	What is OTC?
1195560	1196540	Oder to开始
1196540	1200760	那我们这边有同学是SD的吗?
1204540	1205980	OK 没有同学是SD
1205980	1207500	但是我们要作为一个这个
1207500	1209880	我们是FICO的话也好
1209880	1211300	或者MM的也好
1211300	1212340	我们都要去
1212340	1213560	也要去了解一下
1213560	1214240	别人的模块
1214240	1216360	现在竞争这么激烈的话
1216360	1218440	我们如果多知道一些
1218440	1220040	那个模块的integration的话
1220040	1220940	对我们自己来说
1220940	1222920	也是非常有帮助的
1222920	1223160	好
1223160	1224460	那我们先来看一下
1224460	1226180	这个他的这个
1226180	1227280	business process
1227280	1227640	OK
1227640	1229460	So I think most of the company
1229460	1231980	they don't care about this part
1231980	1233400	pre-sales activity
1233400	1233800	OK
1233800	1235100	So most of the part
1235100	1236260	they will start from
1236260	1242820	the order processing okay so the first step is they will create an order okay and then they will ship
1242820	1250100	the goods do the goods ship and deliver and transfer some order and make a shipment and then
1250100	1256020	issue the billing after they issue the billing the accounting document will be generated right
1256580	1265780	okay so here we have two points will generate financial document okay the first step is goods
1265780	1271340	Once a goods issue, the related financial document will be created.
1271540	1275820	So later I will ask you what kind of financial document will be generated.
1276580	1280700	好,那我们请一个同学来稍微读一下这个 pre-sales activity.
1283460	1285900	月月,你方便吗?
1288140	1289180	方便了,是。
1289660	1290200	好。
1292280	1295260	需要描述这个活动吗,还是读?
1295260	1296820	你就读一下子
1296820	1298980	你如果能用动词的话
1298980	1301500	你把它用动词来连一下子也行
1301500	1311200	如果不行的话
1311200	1313060	你读这个里面的字也行
1313060	1316200	我们接下来会有细节的
1316200	1318160	再来讲里面的这些情形
1318160	1322460	The pre-sales activities
1322460	1324160	为
1324160	1327940	contract
1327940	1332280	contact
1332280	1334280	因为老师我不是SD的
1334280	1335940	所以我不是特别了解这个流程
1335940	1337900	我可以就直接读吗
1337900	1339860	就直接读
1339860	1341700	contact
1341700	1343500	inquiry
1343500	1346900	quotation
1346900	1350580	scheduling agreement
1350580	1354340	order processing
1354340	1355900	sales order
1355900	1357920	shipping
1357920	1359780	goods insurance
1359780	1361020	delivery
1361020	1362780	transfer order
1362780	1363860	shipment
1363860	1366840	building stock account
1366840	1369740	building documents
1369740	1370700	accounts
1370700	1373400	receivable
1373400	1375400	嗯
1393400	1397400	我可以解释
1397400	1405400	所以,一旦我们提供的东西,什么类的东西会出现?
1405400	1417400	其实,我们提供的东西会出现的东西, 并且贷款的东西。
1417400	1422400	OK,非常好。另外一个,这个,
1422400	1426400	所以, once we issue billing, what kind of document will be generated?
1426400	1456400	你的Generator 计划 计划 计划 计划 计划 计划 计划 计划 计划 计划 计划 计划 计划 计划 计划 计划 计划 计划 计划 计划 计划 计划 计划 计划 计划 计划 计划 计划 计划 计划 计划 计划 计划 计划 计划 计划 计划 计划 计划 计划 计划 计划 计划 计�
1456400	1460400	I gave you credits for that, okay?
1460400	1462400	很棒。
1486400	1488520	相关的MM的其实也是对
1488520	1493080	我们MM的我们学过就是
1493080	1497320	产生哪个地方产生就是accounting document
1497320	1502000	好那我们下面来看一看这个就是虽然我们没有
1502000	1507200	不是这个OTC的team或者不是SD team
1507200	1508640	我们根据他们这些流程呢
1508640	1511640	我们来学一些相关的一些单词好吗
1511640	1514240	好这个话呢我看谁没有说话今天
1514240	1516340	谁没有说话就帮我读一下
1516340	1517620	蒙蒙
1517620	1520120	好
1520120	1521580	好
1521580	1523980	Step one
1523980	1526040	Sales inquiry
1526040	1528520	The first step in SAP S&P
1528520	1530180	follow inquiry is a
1530180	1531300	Sales document
1531300	1534700	that keeps track of the information
1534700	1536420	concerning the
1536420	1537780	Customers queries
1537780	1540680	Customers inquire about
1540680	1542400	the availability of
1542400	1547600	to a specific product, how much it costs if it is available,
1547600	1553360	and whether the product will be available on a specific date.
1553360	1559160	It's nothing more than a request from a customer.
1559160	1560400	Okay, very good.
1560400	1562800	好,那我们先来看一看这里头常见的,
1562800	1564960	这些单词还比较常见,
1564960	1568520	OK,inquiry,inquiry,那就是询价,对不对,
1568680	1575560	寻inquiry,self-inquiry,好,那就是如果document floor呢,
1575560	1578540	我们知不知道在SD的时候会有一些什么,
1579600	1582760	叫凭震流,对吧,我们喜欢讲document floor,
1584040	1586360	那我们要知道这个floor,document floor,
1586940	1590680	keep track of,这个是非常常用的,keep track of,就是追踪,
1590680	1594820	好,那我们就是有些时候呢
1594820	1596300	就是用什么情景呢
1596300	1599960	for example, business just want to ask you a question
1599960	1601040	take advantage of you
1601040	1601780	就是利用你
1601780	1603180	take advantage of you
1603180	1605600	yeah, she will always ask you a question
1605600	1608560	okay, so she type it in and ask you a question
1608560	1612260	and in such case, maybe you cannot check your work
1612260	1615120	so you will tell the business
1615120	1616140	could you please
1616140	1619460	你能不能开一张工单
1619460	1621460	你能不能
1621460	1623460	你能不能
1623460	1625460	你能不能
1625460	1627460	对
1627460	1629460	然后
1629460	1631460	去 track off
1631460	1633460	去 track off my service
1633460	1635460	去 track off my work
1635460	1637460	去 track off
1637460	1639460	去 track off your
1639460	1641460	bug
1641460	1643460	去 track off the issue
1643460	1645460	去 track off the problem
1645460	1646460	Right?
1646460	1647460	OK
1647460	1649460	To keep track
1649460	1651460	To keep track of the tickets
1651460	1652460	OK
1652460	1653460	Keep track
1653460	1654460	那我会用了
1654460	1656460	那这Available呢?
1656460	1657460	Available
1657460	1659460	之前学过吗?
1659460	1662460	可提空的
1662460	1663460	嗯
1665460	1666460	可提空的
1666460	1668460	那我们可以用在什么上面
1668460	1669460	给我一个情形
1669460	1674460	你说你跟别人约一个会对吧?
1674460	1691660	我们一起讨论用户的一些公单
1691660	1694160	你跟KT怎么说
1694160	1695360	KT
1695360	1704760	我们说到我们的客户的购物
1704760	1709340	你会有时间吗?
1710340	1712000	你会有时间吗?
1712000	1714000	你会有时间吗?
1714520	1716160	一般我们会这样说
1716160	1720500	你会有时间吗?
1720500	1723180	我们要学会约啊
1723180	1729420	Are you available this afternoon?
1731420	1733280	好,available
1733280	1737280	你可以說我去查查我的這個
1737280	1740240	我的這個工作
1740240	1743420	我們的那個calendar這麼說
1743420	1745880	日曆,日曆,calendar
1745880	1749980	I will check my schedule
1749980	1753500	或者我查一下
1753500	1754700	让我看我的签约
1754700	1755860	然后回到你
1755860	1758520	就是马上就回复你
1758520	1759980	好 那你就这样子
1759980	1760800	就形成了一个
1760800	1763140	很好的一个conversation
1763140	1764080	好 那我们就
1764080	1765060	拿到这些词
1765060	1765900	我们最主要是
1765900	1766960	我们要会模拟
1766960	1768700	会把它就是
1768700	1769980	用到我们的工作中去
1769980	1770300	好
1770300	1771180	request
1771180	1772820	好 那我们刚刚request
1772820	1774040	说没说过
1774040	1774900	就是说请求
1774900	1775900	或者批准
1775900	1776720	或者不批准
1776720	1777020	对吧
1777020	1778660	好 那我们再请
1778660	1779720	一个同学来说一下
1779720	1783920	我请求了什么东西
1783920	1784940	然后被拒绝了
1784940	1786280	好 怎么说
1786280	1791880	萌萌
1791880	1793720	OK
1794480	1802200	I request for a time off
1802200	1804980	but my teacher refused me
1804980	1806720	OK
1806720	1807720	OK
1807720	1809460	OK,I request a leave.
1809980	1811600	I request a leave.
1811840	1813380	OK,就是离开。
1815420	1818900	OK,sick leave,或者你是生病的离开,
1819060	1822380	还是什么family leave啊,都可以讲。
1822800	1823600	sick,OK。
1824600	1824780	好。
1829960	1831000	specific呢?
1831900	1832660	特定的。
1833080	1836660	A specific day,或者a specific time.
1836660	1840020	Do you have a specific time? Do you have a specific answer?
1841140	1844400	比如说别人讲的一个很宽泛的东西
1844400	1848240	他就说那个SAP很难
1848240	1850460	So for example,Business said
1850460	1853780	Oh,SAP, it's really a challenge for me to understand SAP
1853780	1857820	然后这个时候我们作为一个Customer Service的话
1857820	1861540	我们就可以说Can you tell me the specific question?
1862120	1863980	Can you ask me a specific question?
1863980	1866200	就是一个具体的问题,对吧?
1866660	1870760	那我们下面一步到了这个quitation
1870760	1874500	那我们一个询价一个报价对吧
1874500	1877020	quitation询价是谁啊是客户对不对
1877020	1880960	报价是谁啊我们给客户报价对吧
1880960	1885220	是吗这两个搞清楚哦
1885220	1886800	就你们可能没做过外贸
1886800	1888420	我之前我做过外贸的
1888420	1891820	所以我知道就是有一个询价inquiry
1891820	1894340	好那客户可能问就是说
1894340	1896140	你们这边是生产电脑的
1896140	1897360	你这个电脑多少钱
1897360	1897700	对吧
1897700	1898440	好
1898440	1901360	那我们给客户提供这个quitation呢
1901360	1901700	就说
1901700	1903840	我们这个规格是
1903840	1905380	比如说惠普的
1905380	1906800	然后型号是533
1906800	1908420	然后这个
1908420	1910900	价钱是unit price
1910900	1912980	是单价是5000块
1912980	1914120	等等
1914120	1914960	这叫quitation
1914960	1915940	好
1915940	1917020	那我们来看看quitation
1917020	1918820	一般会包括一些什么样的内容
1918820	1919920	你们想一想
1919920	1921500	好
1921500	1923140	萌萌你来说
1923140	1925260	来读一下这个quitation
1925260	1937020	the second step in SAP S T follow quotation is a sales document prepared in response to a customer request
1937020	1944940	after creating the inquiry document we can create a quarter based on the inquiry
1945580	1955100	a source is a document in which a vendor offers the products or services to a buyer at a specific price
1955260	1957940	and under-specified terms.
1958980	1961240	Okay, under-specified terms.
1961760	1962460	Okay, quotation.
1962620	1964560	现在我们知道,这是报价。
1965160	1968340	The second step in SAP Flores quotation,
1968340	1970260	它也是一个这个,一个 document,
1970640	1972340	也是属于一个 sales document.
1972900	1975660	它主要是 response to a customer's request.
1976260	1978320	那就是第一步是 customer inquiry, right?
1978980	1980720	Response to customer's inquiry
1980720	1982520	after creating the inquiry document.
1982520	1984380	We can create a code
1984380	1985320	Create
1985320	1986180	我们经常用
1986180	1986720	对不对
1986720	1989520	好 再想想我们经常create什么东西
1989520	1992160	在你的工作中你会create什么
1992160	2001380	Create a finance account
2001380	2004180	Finance account
2004180	2007020	Create a financial document
2007020	2007360	Right
2007360	2008420	Yeah
2008420	2011020	You mean the charter of account
2011020	2011760	Or
2011760	2013680	GLCount
2013680	2015120	GLCount, right?
2015620	2016740	GLCount
2016740	2019520	OK,好, create a GLCount
2019520	2020280	还 create什么?
2020860	2023060	Create a new email
2023060	2025640	New email?
2026740	2027060	Yeah
2027060	2029420	Email
2029420	2032620	Create a purchasing order
2032620	2034700	P-O,OK
2034700	2035660	还有呢?
2036160	2036760	Material
2036760	2040560	Create a new material in the system
2040560	2044640	Martier master data, right?
2045440	2045680	Yes
2045680	2050640	Hotai作业
2050640	2052060	Hotai作业怎么说?
2052580	2054680	Banground activity
2054680	2056940	Banground job
2056940	2058580	Batch job
2058580	2059820	Batch job
2059820	2060640	Hotai
2060640	2062720	Hotai
2062720	2063360	Hotai
2063360	2063680	Hotai作业
2063680	2063800	Hotai作业
2063800	2063800	
2063800	2064800	Hotai作业
2064800	2065800	Hotai作业
2065800	2066680	Hotai作业
2066680	2067160	Hotai
2067160	2067560	Hotai
2067560	2067800	Hotai
2067800	2067800	
2067800	2067800	
2067800	2068320	Hotai
2068320	2068920	Hotai
2068920	2068920	
2068920	2069320	Hotai
2069320	2069320	
2069320	2069320	
2069320	2069320	
2069320	2069320	
2069320	2069320	
2069320	2069320	
2069320	2069320	
2069320	2069320	
2069320	2069320	
2069320	2069320	
2069320	2069320	
2069320	2069320	
2069320	2072140	这个report 我们要设定它的这个辨识
2072140	2072680	怎么说
2072680	2074100	Variant
2074100	2076260	Variant
2076260	2078640	OK
2078640	2079840	OK
2079840	2082560	那我们还会create一个什么
2082560	2085000	新的这个表格
2085000	2085920	表的格式
2085920	2088060	Layup
2088060	2090060	OK very good
2090060	2093460	好 这些词我们慢慢就越扩越多
2093460	2094740	对吧 create很多东西
2094740	2104580	repeat job
2104580	2105380	repeat job
2105380	2106180	repeat job
2106180	2106900	repeat job
2106900	2107100	repeat job
2107100	2107100	
2107100	2107440	repeat job
2107440	2108000	repeat job
2108000	2108340	repeat job
2108340	2108940	repeat job
2108940	2109300	repeat job
2109300	2109380	repeat job
2109380	2110100	repeat job
2110100	2110800	repeat job
2110800	2111100	repeat job
2111100	2111100	
2111100	2111100	
2111100	2111100	
2111100	2111700	repeat job
2111700	2112100	repeat job
2112100	2112300	repeat job
2112300	2112900	repeat job
2112900	2113300	repeat job
2113300	2113300	
2113300	2113800	repeat job
2113800	2114300	repeat job
2114300	2114780	repeat job
2114780	2114780	
2114780	2114780	
2114780	2115300	repeat job
2115300	2115300	
2115300	2115800	repeat job
2115800	2116300	repeat job
2116300	2116700	repeat job
2116700	2117300	repeat job
2117300	2117300	
2117300	2117300	
2117300	2119300	Educate a meeting invitation
2147300	2162540	我们可不可以create
2162540	2163040	the
2163580	2164680	products order
2165680	2166000	嗯嗯
2166000	2166680	p o
2166680	2167680	production order
2168540	2169840	啊哈好多东西对
2170640	2171540	work center
2172600	2173300	或者我们
2173540	2173980	credi
2173980	2174440	the
2175840	2176140	credi
2176140	2176680	the bomb
2177480	2177980	credi
2177980	2178340	credi
2178340	2178840	the bomb
2179600	2180980	我们还可以去credi
2180980	2181300	the
2181740	2182140	sd
2182140	2184600	这边我们还可以可以去chang
2184600	2184700	g
2184700	2185500	一个什么信用
2185500	2186380	credi
2187480	2187880	credi
2187880	2188600	the area
2188600	2189600	the area
2189600	2190600	the area
2191600	2191840	啊
2191840	2192720	好的
2192720	2193800	我们等等
2193800	2195240	这个create
2195240	2196020	很简
2196020	2196680	对
2196680	2197420	customer
2197420	2197780	bp
2197780	2199080	或者那个vonder
2199080	2199920	对吧
2199920	2200800	好
2200800	2201840	那我们这个create
2201840	2203020	我们现在都知道了
2203020	2204440	就是说非常简单
2204440	2204880	但是
2204880	2206560	非常实用
2206560	2207560	好吗
2207560	2208740	就像我们那天
2208740	2210200	跟另外一个班
2210200	2211520	我们学了一个run
2211520	2212220	跑步
2212220	2213320	run
2213320	2214640	我们也可以做很多
2214640	2215300	很多
2215300	2216420	就是说
2216420	2217420	后面跟很多词组
2217420	2218760	可以扩很多词组出来
2218760	2219460	好
2219460	2220300	那这边呢
2220300	2221420	就是我们offer
2221420	2224560	就是Vendor offers products
2224560	2225420	就是提供
2225420	2226940	好那offer
2226940	2228520	那我们还可以说提供products
2228520	2229840	我们还可以说提供服务
2229840	2230160	对吧
2230160	2231300	嗯
2231300	2232520	好
2232520	2234100	我们还可以offer time
2234100	2234560	对吧
2234560	2237180	好那我们再到第三步的话
2237180	2238960	我们就是很多公司
2238960	2240040	才从这里开始
2240040	2241320	就是Sales order
2241320	2242780	好那我们再来
2242780	2244160	我们自己先来读一下
2244160	2246740	这里头的单词的话
2246740	2248200	好像就是
2248200	2250880	没有那么
2250880	2252760	就是我们可以看一看
2252760	2255700	这第三步呢
2255700	2256720	在SD Flores
2256720	2258700	Self Order呢
2258700	2260180	它属于是一个contract
2260180	2262380	between a customer and a
2262380	2263320	seal organization
2263320	2264920	它是具有法律意义的
2264920	2268320	to provide specific goods
2268320	2269820	就是能提供
2269820	2270640	provide
2270640	2271620	这个是高频词
